"Query_sequence_ID"	"Subject_sequence_ID"	"Percent_identity"	"Alignment_length"	"Number_of_mismatches"	"Number_of_gap_openings"	"Start_position_in_query_sequence"	"End_position_in_query_sequence"	"Start_position_in_subject_sequence"	"End_position_in_subject_sequence"	"E-value"	"Bit_score"	"Genome_ID"
"tauB"	"QHVM01000055.1"	53.158	190	89	0	79	648	44981	45550	5.96e-64	244	"GCA_003223555.1"
"tauB"	"QHVJ01000180.1"	51.579	190	92	0	79	648	15143	15712	1.43e-62	239	"GCA_003222275.1"
"tauB"	"PLZI01000040.1"	46.597	191	102	0	79	651	9940	9368	1.56e-51	203	"GCA_003152095.1"
"tauB"	"DIAY01000009.1"	47.059	187	99	0	79	639	10573	10013	2.14e-51	202	"GCA_002414905.1"
"tauB"	"PLZI01000132.1"	44.118	204	114	0	46	657	19616	19005	2.92e-51	202	"GCA_003152095.1"
"tauB"	"QHVT01000010.1"	43.316	187	106	0	79	639	7768	7208	1.05e-46	187	"GCA_003223645.1"
"tauB"	"DIHE01000124.1"	45.732	164	89	0	154	645	24527	25018	3.15e-55	183	"GCA_002420005.1"
"tauB"	"QHVY01000072.1"	42.767	159	91	0	49	525	9667	9191	1.47e-47	166	"GCA_003223695.1"
"tauC"	"PLZI01000101.1"	39.355	155	94	0	226	690	11632	12096	1.34e-40	166	"GCA_003152095.1"
"tauC"	"PLZI01000132.1"	40.625	160	95	0	241	720	20278	19799	1.85e-40	166	"GCA_003152095.1"
"tauB"	"QHVP01000692.1"	44.654	159	88	0	49	525	2039	2515	1.84e-46	162	"GCA_003222295.1"
"tauC"	"QHVS01000273.1"	39.873	158	95	0	226	699	3253	2780	3.22e-39	162	"GCA_003223635.1"
"tauB"	"QHVM01000085.1"	43.396	159	90	0	49	525	117483	117959	1.3e-46	160	"GCA_003223555.1"
"tauB"	"DIAY01000185.1"	42.236	161	93	0	49	531	1885	2367	9.8e-47	158	"GCA_002414905.1"
"tauC"	"DIHE01000106.1"	39.873	158	95	0	226	699	13297	13770	6.56e-39	158	"GCA_002420005.1"
"tauB"	"QHVJ01000417.1"	40.881	159	94	0	49	525	3587	3111	5.91e-45	155	"GCA_003222275.1"
"tauC"	"PLZI01000101.1"	40.506	158	94	0	226	699	10129	10602	3.78e-37	155	"GCA_003152095.1"
"tauC"	"QHVV01000040.1"	40.645	155	92	0	226	690	3038	3502	1.02e-36	150	"GCA_003222385.1"
"tauC"	"QHVS01000259.1"	34.81	158	103	0	226	699	4502	4975	8.36e-35	147	"GCA_003223635.1"
"tauC"	"QHVJ01000180.1"	38.562	153	94	0	247	705	14428	14886	3.49e-32	138	"GCA_003222275.1"
"tauC"	"PLZI01000040.1"	34.545	165	108	0	205	699	10791	10297	2.35e-31	136	"GCA_003152095.1"
"tauC"	"QHVT01000010.1"	33.333	165	110	0	205	699	8592	8098	2.35e-31	136	"GCA_003223645.1"
"tauC"	"QHVM01000055.1"	34.706	170	111	0	196	705	44214	44723	4.43e-31	135	"GCA_003223555.1"
"tauC"	"DIHE01000124.1"	39.264	163	99	0	211	699	23621	24109	1.15e-30	133	"GCA_002420005.1"
"tauB"	"PLZI01000124.1"	48.12	133	69	0	217	615	18384	17986	3.2e-39	132	"GCA_003152095.1"
"tauC"	"MEKI01000019.1"	34.146	164	108	0	214	705	17598	17107	4.09e-30	132	"GCA_001766905.1"
"tauC"	"QHVV01000040.1"	39.316	117	71	0	349	699	1510	1860	1.14e-34	130	"GCA_003222385.1"
"tauB"	"QHVV01000040.1"	47.414	116	61	0	280	627	2361	2708	1.74e-52	129	"GCA_003222385.1"
"tauB"	"RFGL01000142.1"	44.8	125	69	0	253	627	3308	2934	1.92e-36	129	"GCA_003697015.1"
"tauC"	"DIAY01000009.1"	33.939	165	109	0	205	699	11328	10834	3.97e-31	129	"GCA_002414905.1"
"tauB"	"DIHE01000005.1"	46.565	131	70	0	223	615	17855	18247	2.3e-39	127	"GCA_002420005.1"
"tauB"	"DIHE01000036.1"	44.361	133	74	0	217	615	154328	154726	1.22e-39	125	"GCA_002420005.1"
"tauB"	"NODE_16_length_246254_cov_15.200760"	42.857	133	76	0	217	615	161184	160786	3.12e-39	125	"GCA_009843505.1"
"tauB"	"NODE_192_length_160457_cov_7.755171"	43.609	133	75	0	217	615	111553	111155	2.29e-39	125	"CNA0052543"
"tauB"	"NODE_1_length_3060629_cov_323.518"	42.857	133	76	0	217	615	249014	249412	3.06e-39	125	"GCA_026707545.1"
"tauB"	"NODE_2_length_1832778_cov_1072.34"	43.609	133	75	0	217	615	505491	505889	2.23e-39	125	"SAMN13943208"
"tauB"	"NODE_4_length_931097_cov_117.224815"	43.609	133	75	0	217	615	783196	782798	8.8e-40	125	"CNA0052490"
"tauC"	"PMLC01000114.1"	33.129	163	109	0	217	705	11181	10693	4.79e-28	125	"GCA_003158745.1"
"tauB"	"DCUZ01000099.1"	42.4	125	72	0	253	627	65025	65399	8.99e-34	124	"GCA_002327305.1"
"tauB"	"NODE_17_length_174964_cov_24.507475"	42.857	133	76	0	217	615	75619	75221	1.11e-38	124	"GCA_009836625.1"
"tauB"	"NODE_2_length_1577929_cov_17.872363"	42.857	133	76	0	217	615	1355179	1354781	7.87e-39	124	"CNA0052611"
"tauB"	"NODE_8_length_470176_cov_860.960157"	42.857	133	76	0	217	615	302380	302778	2.8e-38	124	"GCA_028877275.1"
"tauB"	"NODE_9_length_415742_cov_57.539394"	42.857	133	76	0	217	615	36621	37019	1.1e-38	124	"GCA_009845425.1"
"tauB"	"NODE_1192_length_13537_cov_111.847"	42.857	133	76	0	217	615	8399	8797	8.29e-39	123	"GCA_026708285.1"
"tauB"	"NODE_1_length_3875896_cov_1713.578510"	42.857	133	76	0	217	615	3089675	3089277	5.69e-39	123	"GCA_011525365.1"
"tauB"	"NODE_6_length_593889_cov_127.859361"	42.857	133	76	0	217	615	125454	125056	7.94e-39	123	"CNA0052584"
