Assembly_ID	Repository	Group	Isolation_source	Completeness	Contamination	Genome_size_Mbp	GC	Classification_GTDB	Classification_16S
GCA_026708305.1	NCBI	Sponge	Sponge (Coscinoderma mathewsi)	97.57	0	0.836782	28.7	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__;s__	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_uncultured_marine_archaeon_graftm_1
GCA_011523285.1	NCBI	Sponge	Sponge (Coscinoderma mathewsi)	98.06	0.49	0.84393	29.5	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__;s__	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_uncultured_marine_archaeon_graftm_1
CNA0052485	CNGB	Sponge	Sponge (Ircinia ramosa)	98.06	0	1.701044	45.5	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Cenarchaeum;s__	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus;_uncultured_crenarchaeote_graftm_5
CNA0052509	CNGB	Sponge	Sponge (Ircinia ramosa)	96.6	0	1.359681	46.5	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Cenarchaeum;s__	No_16S
GCA_028817155.1	NCBI	Sponge	Sponge (Stylissa flabelliformis)	98.54	0	1.488362	67.4	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Cenarchaeum;s__Cenarchaeum sp003724275	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Cenarchaeum;_uncultured_archaeon_graftm_145
GCA_000200715.1	NCBI	Sponge	Sponge (Aplysina aerophoba)	99.03	0	2.045086	57.4	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Cenarchaeum;s__Cenarchaeum symbiosum	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Cenarchaeum
2626541593	JGI	Sponge	Sponge (Cymbastela concentrica)	97.09	4.05	2.161854	38.4	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus;_uncultured_archaeon_graftm_56
GCA_028820595.1	NCBI	Sponge	Sponge (Rhopaloeides odorabile)	94.17	0	1.990914	60.4	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus;_uncultured_archaeon_graftm_56
GCA_026712925.1	NCBI	Sponge	Sponge (Aplysina aerophoba)	91.59	0	2.186878	38.8	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	No_16S
GCA_001541925.1	NCBI	Sponge	Sponge (Suberites sp)	100	0	1.383621	31.4	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp001541925	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae
GCA_001543015.1	NCBI	Sponge	Sponge (Lophophysema sp)	100	0	1.925182	31.6	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp001543015	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus;_uncultured_archaeon_graftm_56
GCA_002506665.1	NCBI	Sponge	Sponge (Neamphius huxleyi)	92.23	0	1.389729	41.2	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp002506665	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus;_uncultured_archaeon_graftm_56
GCA_003724285.1	NCBI	Sponge	Sponge (Hexadella dedritifera)	89.81	0.07	1.176375	53	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp003724285	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus
GCA_003724325.1	NCBI	Sponge	Sponge (Hexadella dedritifera)	92.23	0	1.17111	47.9	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp003724325	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus
GCF_900620265.1	NCBI	Sponge	Sponge (Ianthella basta)	99.03	0.97	1.99668	64.8	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp900620265	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus
GCA_013330055.1	NCBI	Non-Sponge	Sediment	85.6	0	1.184172	35.9	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__UBA8516;s__UBA8516 sp8516u	No_16S
GCA_003352285.1	NCBI	Non-Sponge	biofilm from MA_RO membrane_Red_Sea	99.03	0.97	1.689003	35.5	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Cenarchaeum;s__Cenarchaeum sp003352285	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_uncultured_archaeon_graftm_8
GCA_001443365.1	NCBI	Non-Sponge	Sediment	99.03	0	1.358434	34.4	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__CSP1-1;s__CSP1-1 sp001443365	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_uncultured_archaeon_graftm_8
GCF_000220175.1	NCBI	Non-Sponge	Soil	100	0	1.607695	32.7	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum koreense	Archaea
GCA_000204585.1	NCBI	Non-Sponge	Sediments SanFran Bay	98.06	0	1.772718	32.5	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum limnae	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosoarchaeum
GCA_002737445.1	NCBI	Non-Sponge	Lake Baikal	99.03	1.94	1.193764	31	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum sp002737445	Archaea
GCA_003569705.1	NCBI	Non-Sponge	Lake Biwa	98.54	1.94	1.462514	33	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum sp003569705	Archaea
GCA_004297665.1	NCBI	Non-Sponge	Groundwater Tennessee	93.13	6.63	1.550815	33	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum sp004297665	No_16S
GCA_005798405.1	NCBI	Non-Sponge	Freshwater Fuxian Lake China	93.2	0	1.247066	33.4	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum sp005798405	Archaea
