"Query_sequence_ID"	"Subject_sequence_ID"	"Percent_identity"	"Alignment_length"	"Number_of_mismatches"	"Number_of_gap_openings"	"Start_position_in_query_sequence"	"End_position_in_query_sequence"	"Start_position_in_subject_sequence"	"End_position_in_subject_sequence"	"E-value"	"Bit_score"	"Genome_ID"
"tauB"	"SLST01000313.1"	44.068	236	132	0	46	753	5228	5935	1.11e-65	250	"GCA_007130265.1"
"tauB"	"NZ_QQPQ01000012.1"	46.602	206	110	0	46	663	31461	30844	1.34e-68	248	"GCF_003346715.1"
"tauB"	"QNBH01000020.1"	49.246	199	101	0	34	630	5464	4868	8.77e-59	227	"GCA_003645645.1"
"tauB"	"SLAA01000198.1"	42.723	213	122	0	34	672	2951	3589	1.11e-57	224	"GCA_007127105.1"
"tauB"	"SLRR01000045.1"	48.454	194	100	0	79	660	6	587	1.53e-57	223	"GCA_007130865.1"
"tauC"	"PWQX01000089.1"	42.512	207	119	0	100	720	34139	34759	5.98e-57	221	"GCA_003556605.1"
"tauC"	"SLAA01000198.1"	45.545	202	110	0	115	720	1058	1663	2.13e-56	220	"GCA_007127105.1"
"tauB"	"QNBH01000063.1"	43.627	204	115	0	46	657	2408	3019	5.03e-56	218	"GCA_003645645.1"
"tauC"	"PXEI01000050.1"	44.554	202	112	0	115	720	2157	1552	7.58e-56	218	"GCA_003564775.1"
"tauB"	"SLTF01000274.1"	43.627	204	115	0	43	654	1558	947	1.2e-54	214	"GCA_007130025.1"
"tauC"	"SLST01000313.1"	47.674	172	90	0	205	720	3473	3988	1.01e-57	211	"GCA_007130265.1"
"tauB"	"PWQX01000089.1"	41.872	203	118	0	43	651	36173	36781	5.01e-52	205	"GCA_003556605.1"
"tauC"	"SLRR01000046.1"	40.196	204	122	0	97	708	614	3	3.71e-51	202	"GCA_007130865.1"
"tauC"	"SLTF01000274.1"	46.512	172	92	0	205	720	3374	2859	1.01e-57	199	"GCA_007130025.1"
"tauC"	"NZ_QQPQ01000012.1"	40.686	204	121	0	109	720	33288	32677	6.47e-50	198	"GCF_003346715.1"
"tauB"	"NZ_MWQY01000010.1"	40.284	211	126	0	1	633	53772	53140	2.1e-49	196	"GCF_002087085.1"
"tauB"	"SLBH01000189.1"	42.157	204	118	0	34	645	904	293	3.95e-49	195	"GCA_007126415.1"
"tauB"	"NZ_JNUP01000029.1"	38.967	213	130	0	1	639	54867	54229	1.94e-48	193	"GCF_000758165.1"
"tauB"	"NZ_JWTM01000418.1"	39.908	218	131	0	4	657	92627	91974	3.66e-48	192	"GCF_001749745.1"
"tauB"	"NC_014484.1"	41.284	218	128	0	4	657	2100442	2099789	1.79e-47	190	"GCF_000147075.1"
"tauB"	"NZ_MWQY01000004.1"	41.026	195	115	0	37	621	85413	84829	1.79e-47	190	"GCF_002087085.1"
"tauB"	"NC_017583.1"	41.284	218	128	0	4	657	2193965	2193312	4.63e-47	188	"GCF_000184345.1"
"tauB"	"SLTF01000154.1"	41.624	197	115	0	43	633	2042	1452	3.13e-46	186	"GCA_007130025.1"
"tauB"	"PLNO01000038.1"	39.267	191	116	0	34	606	5654	6226	5.9e-46	185	"GCA_003141795.1"
"tauB"	"NZ_QQPQ01000078.1"	40.838	191	113	0	34	606	2512	1940	6.92e-44	178	"GCF_003346715.1"
